Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0603_1608Metric",138.430000,-146.558000,90.000000,top
"D2","LED","LED_0603_1608Metric",140.970000,-146.558000,90.000000,top
"D3","LED","LED_0603_1608Metric",143.510000,-146.558000,90.000000,top
"D4","LED","LED_0603_1608Metric",146.050000,-146.558000,90.000000,top
"D5","LED","LED_0603_1608Metric",148.590000,-146.558000,90.000000,top
"D6","LED","LED_0603_1608Metric",151.130000,-146.558000,90.000000,top
"D7","LED","LED_0603_1608Metric",153.670000,-146.558000,90.000000,top
"D8","LED","LED_0603_1608Metric",156.210000,-146.558000,90.000000,top
"J1","Conn_01x10_Female","PinHeader_1x08_P2.54mm_Horizontal",138.430000,-118.364000,90.000000,top
"J2","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Horizontal",158.750000,-150.876000,-90.000000,top
"J3","Conn_01x06_Female","Molex-54550-0671-Manufacturer_Recommended",155.260002,-140.176999,90.000000,top
"J4","Conn_01x06_Female","Molex-54550-0671-Manufacturer_Recommended",139.633998,-140.208000,-90.000000,top
"R1","1000","R_0402_1005Metric",137.100000,-147.040000,90.000000,top
"R2","1000","R_0402_1005Metric",139.640000,-147.038000,90.000000,top
"R3","1000","R_0402_1005Metric",142.180000,-147.040000,90.000000,top
"R4","1000","R_0402_1005Metric",144.720000,-147.040000,90.000000,top
"R5","1000","R_0402_1005Metric",147.260000,-147.040000,90.000000,top
"R6","1000","R_0402_1005Metric",149.800000,-147.040000,90.000000,top
"R7","1000","R_0402_1005Metric",152.340000,-147.038000,90.000000,top
"R8","1000","R_0402_1005Metric",154.880000,-147.040000,90.000000,top
"R9","1000","R_0402_1005Metric",140.968000,-134.874000,180.000000,top
"R10","1000","R_0402_1005Metric",137.668000,-124.968000,90.000000,top
"R11","1000","R_0402_1005Metric",137.668000,-127.508000,90.000000,top
"R12","1000","R_0402_1005Metric",137.668000,-130.048000,90.000000,top
"R13","1000","R_0402_1005Metric",138.684000,-132.842000,90.000000,top
"R14","1000","R_0402_1005Metric",138.684000,-130.048000,90.000000,top
"R15","1000","R_0402_1005Metric",138.684000,-124.968000,90.000000,top
"R16","1000","R_0402_1005Metric",138.684000,-127.508000,90.000000,top
"R17","1000","R_0402_1005Metric",137.668000,-132.842000,90.000000,top
"R18","1000","R_0402_1005Metric",157.480000,-124.714000,90.000000,top
"R19","1000","R_0402_1005Metric",156.464000,-124.714000,90.000000,top
"R20","1000","R_0402_1005Metric",156.464000,-127.254000,90.000000,top
"R21","1000","R_0402_1005Metric",156.464000,-132.334000,90.000000,top
"R22","1000","R_0402_1005Metric",157.480000,-132.334000,90.000000,top
"R23","1000","R_0402_1005Metric",157.480000,-127.254000,90.000000,top
"R24","1000","R_0402_1005Metric",157.480000,-129.794000,90.000000,top
"R25","1000","R_0402_1005Metric",156.464000,-129.794000,90.000000,top
"U1","ATtiny828-A","TQFP-32_7x7mm_P0.8mm",147.574000,-139.446000,90.000000,top
"U2","HDSP-A151","HDSP-A151",140.788500,-122.174000,0.000000,top
"U3","HDSP-A151","HDSP-A151",149.098000,-122.174000,0.000000,top
